id,title,description,category,type,collection,is_new,subtype,manufacturer,catalog_id,finishes,position,sizes,thickness,material,shape,cut,diameter,length,width,height,source
664,Pulpis Ivory — Sensi 900,"ABK with SENSI 900 celebrates the marble varieties that marked in the architectural contest the emergence of “modern luxury” at the beginning of last century, a style characterised by a restrained and simple elegance in which the focus is on the materials themselves. The SENSI 900 collection includes several classic marble varieties such as Bianco Carrara, popular for its sober aesthetics and pure background, Stone Grey, with its sophisticated mud-grey colouring, and Precious Black, an elegant black marble streaked with golden veins. Completing the range are the more decorative Oyster Gold, Oyster White slabs as well as Venezia Nuvola, a terrazzo-inspired product that enhances the three-dimensionality of the new Antique 3D surfaces.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Polished, Soft, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
665,VENEZIA NUVOLA — Sensi 900,"ABK with SENSI 900 celebrates the marble varieties that marked in the architectural contest the emergence of “modern luxury” at the beginning of last century, a style characterised by a restrained and simple elegance in which the focus is on the materials themselves. The SENSI 900 collection includes several classic marble varieties such as Bianco Carrara, popular for its sober aesthetics and pure background, Stone Grey, with its sophisticated mud-grey colouring, and Precious Black, an elegant black marble streaked with golden veins. Completing the range are the more decorative Oyster Gold, Oyster White slabs as well as Venezia Nuvola, a terrazzo-inspired product that enhances the three-dimensionality of the new Antique 3D surfaces.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Polished, Soft, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
666,OYSTER WHITE — Sensi 900,"ABK with SENSI 900 celebrates the marble varieties that marked in the architectural contest the emergence of “modern luxury” at the beginning of last century, a style characterised by a restrained and simple elegance in which the focus is on the materials themselves. The SENSI 900 collection includes several classic marble varieties such as Bianco Carrara, popular for its sober aesthetics and pure background, Stone Grey, with its sophisticated mud-grey colouring, and Precious Black, an elegant black marble streaked with golden veins. Completing the range are the more decorative Oyster Gold, Oyster White slabs as well as Venezia Nuvola, a terrazzo-inspired product that enhances the three-dimensionality of the new Antique 3D surfaces.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Polished, Soft, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
667,STONE GREY — Sensi 900,"ABK with SENSI 900 celebrates the marble varieties that marked in the architectural contest the emergence of “modern luxury” at the beginning of last century, a style characterised by a restrained and simple elegance in which the focus is on the materials themselves. The SENSI 900 collection includes several classic marble varieties such as Bianco Carrara, popular for its sober aesthetics and pure background, Stone Grey, with its sophisticated mud-grey colouring, and Precious Black, an elegant black marble streaked with golden veins. Completing the range are the more decorative Oyster Gold, Oyster White slabs as well as Venezia Nuvola, a terrazzo-inspired product that enhances the three-dimensionality of the new Antique 3D surfaces.",ceramice,Marble,Sensi 900,False,ABK,ABK,,"Polished, Soft, Antique 3D, P.tech",,"120x120, 60x120, 120x280",,Full body porcelain,,,,,,,abk
668,Taj Mahal — Sensi Gems,"The elegance of marble is evoked in four sophisticated varieties that stand out not just for their contrasting veins but also for their crystallisation effects, distinctive textures that create a surprising sense of depth in surfaces available in natural, soft and lux finish versions.",ceramice,Marble,Sensi Gems,False,ABK,ABK,,"Natural, Polished, Soft, P.tech",,"120x120, 60x120, 120x280",,Full body porcelain slabs,,,,,,,abk
669,Iceberg — Sensi Gems,"The elegance of marble is evoked in four sophisticated varieties that stand out not just for their contrasting veins but also for their crystallisation effects, distinctive textures that create a surprising sense of depth in surfaces available in natural, soft and lux finish versions.",ceramice,Marble,Sensi Gems,False,ABK,ABK,,"Natural, Polished, Soft, P.tech",,"120x120, 60x120, 120x280",,Full body porcelain slabs,,,,,,,abk
670,Invisible Pearl — Sensi Up,Sensi Up introduces new marble-inspired visuals. The collection offers a selection of classic and contemporary marbles fitting perfectly the sense of sophisticated luxury permeating today's world of architecture.,ceramice,Marble,Sensi Up,False,ABK,ABK,,"Natural, Polished, Soft, P.tech",,"160x320, 120x120, 60x120, 80x80, 120x280",,Porcelain slabs,,,,,,,abk
671,Statuario Versilia — Sensi Up,Sensi Up introduces new marble-inspired visuals. The collection offers a selection of classic and contemporary marbles fitting perfectly the sense of sophisticated luxury permeating today's world of architecture.,ceramice,Marble,Sensi Up,False,ABK,ABK,,"Natural, Polished, Soft, P.tech",,"160x320, 120x120, 60x120, 80x80, 120x280",,Porcelain slabs,,,,,,,abk
672,Breccia Melange — Sensi Up,Sensi Up introduces new marble-inspired visuals. The collection offers a selection of classic and contemporary marbles fitting perfectly the sense of sophisticated luxury permeating today's world of architecture.,ceramice,Marble,Sensi Up,False,ABK,ABK,,"Natural, Polished, Soft, P.tech",,"160x320, 120x120, 60x120, 80x80, 120x280",,Porcelain slabs,,,,,,,abk
673,Milk — Alterego,"In keeping with a design philosophy that encourages creative cross-pollination, the ALTEREGO collection represents a stylistically independent yet complementary approach to ABK’s surfaces. The ALTEREGO range presents 10 on-trend tones on a surface evoking the tactile sensations of hand-applied resins. The carefully selected plain colours inspire creative colour combinations, innovative compositional solutions and unique installation patterns. This versatility is further enhanced by the wide range of modular sizes.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Full body colored porcelain tiles,,,,,,,abk
674,Sand — Alterego,"In keeping with a design philosophy that encourages creative cross-pollination, the ALTEREGO collection represents a stylistically independent yet complementary approach to ABK’s surfaces. The ALTEREGO range presents 10 on-trend tones on a surface evoking the tactile sensations of hand-applied resins. The carefully selected plain colours inspire creative colour combinations, innovative compositional solutions and unique installation patterns. This versatility is further enhanced by the wide range of modular sizes.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Full body colored porcelain tiles,,,,,,,abk
675,Ash — Alterego,"In keeping with a design philosophy that encourages creative cross-pollination, the ALTEREGO collection represents a stylistically independent yet complementary approach to ABK’s surfaces. The ALTEREGO range presents 10 on-trend tones on a surface evoking the tactile sensations of hand-applied resins. The carefully selected plain colours inspire creative colour combinations, innovative compositional solutions and unique installation patterns. This versatility is further enhanced by the wide range of modular sizes.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Full body colored porcelain tiles,,,,,,,abk
676,Mud — Alterego,"In keeping with a design philosophy that encourages creative cross-pollination, the ALTEREGO collection represents a stylistically independent yet complementary approach to ABK’s surfaces. The ALTEREGO range presents 10 on-trend tones on a surface evoking the tactile sensations of hand-applied resins. The carefully selected plain colours inspire creative colour combinations, innovative compositional solutions and unique installation patterns. This versatility is further enhanced by the wide range of modular sizes.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Full body colored porcelain tiles,,,,,,,abk
677,Cotto — Alterego,"In keeping with a design philosophy that encourages creative cross-pollination, the ALTEREGO collection represents a stylistically independent yet complementary approach to ABK’s surfaces. The ALTEREGO range presents 10 on-trend tones on a surface evoking the tactile sensations of hand-applied resins. The carefully selected plain colours inspire creative colour combinations, innovative compositional solutions and unique installation patterns. This versatility is further enhanced by the wide range of modular sizes.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Full body colored porcelain tiles,,,,,,,abk
678,Clay — Alterego,"In keeping with a design philosophy that encourages creative cross-pollination, the ALTEREGO collection represents a stylistically independent yet complementary approach to ABK’s surfaces. The ALTEREGO range presents 10 on-trend tones on a surface evoking the tactile sensations of hand-applied resins. The carefully selected plain colours inspire creative colour combinations, innovative compositional solutions and unique installation patterns. This versatility is further enhanced by the wide range of modular sizes.",ceramice,RESIN,Alterego,False,ABK,ABK,,Natural,,"120x120, 60x120, 20x120, 60x60, 10x60, 30x30, 120x280, 5x120",,Full body colored porcelain tiles,,,,,,,abk
679,WHITE — Sensi Roma,"The world of architecture and interior design is rediscovering the age-old appeal of travertine, a material of timeless, almost primordial beauty that has been used over the centuries in numerous buildings in Rome, the Eternal City. Ever attentive to changing trends and tastes, ABK is introducing SENSI ROMA, an exclusive porcelain tile collection that combines style and technology and is inspired by Travertino Navona, one of the most prestigious and popular varieties of this stone.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antislippery R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Full body porcelain,,,,,,,abk
680,IVORY — Sensi Roma,"The world of architecture and interior design is rediscovering the age-old appeal of travertine, a material of timeless, almost primordial beauty that has been used over the centuries in numerous buildings in Rome, the Eternal City. Ever attentive to changing trends and tastes, ABK is introducing SENSI ROMA, an exclusive porcelain tile collection that combines style and technology and is inspired by Travertino Navona, one of the most prestigious and popular varieties of this stone.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antislippery R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Full body porcelain,,,,,,,abk
681,CREAM — Sensi Roma,"The world of architecture and interior design is rediscovering the age-old appeal of travertine, a material of timeless, almost primordial beauty that has been used over the centuries in numerous buildings in Rome, the Eternal City. Ever attentive to changing trends and tastes, ABK is introducing SENSI ROMA, an exclusive porcelain tile collection that combines style and technology and is inspired by Travertino Navona, one of the most prestigious and popular varieties of this stone.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antislippery R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Full body porcelain,,,,,,,abk
682,RED — Sensi Roma,"The world of architecture and interior design is rediscovering the age-old appeal of travertine, a material of timeless, almost primordial beauty that has been used over the centuries in numerous buildings in Rome, the Eternal City. Ever attentive to changing trends and tastes, ABK is introducing SENSI ROMA, an exclusive porcelain tile collection that combines style and technology and is inspired by Travertino Navona, one of the most prestigious and popular varieties of this stone.",ceramice,Stone,Sensi Roma,False,ABK,ABK,,"Natural, Antislippery R11, Antique 3D, P.tech, Lux 3D",,"80x160, 120x120, 60x120, 80x80, 60x90, 120x280",,Full body porcelain,,,,,,,abk
683,Ivory — Cliff,"Elegant and minimalist, ABK’s CLIFF collection combines the quality of porcelain stoneware with the discreet charm of natural stone. Inspired by European limestone, the design moves beyond purely graphic effects towards three-dimensionality, with surfaces enhanced by subtle micro-bush-hammering and fine decorative engravings.",ceramice,Stone,Cliff,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 80x80, 60x60, 120x280",,Full body porcelain,,,,,,,abk
684,Sand — Cliff,"Elegant and minimalist, ABK’s CLIFF collection combines the quality of porcelain stoneware with the discreet charm of natural stone. Inspired by European limestone, the design moves beyond purely graphic effects towards three-dimensionality, with surfaces enhanced by subtle micro-bush-hammering and fine decorative engravings.",ceramice,Stone,Cliff,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 80x80, 60x60, 120x280",,Full body porcelain,,,,,,,abk
685,Ash — Cliff,"Elegant and minimalist, ABK’s CLIFF collection combines the quality of porcelain stoneware with the discreet charm of natural stone. Inspired by European limestone, the design moves beyond purely graphic effects towards three-dimensionality, with surfaces enhanced by subtle micro-bush-hammering and fine decorative engravings.",ceramice,Stone,Cliff,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 80x80, 60x60, 120x280",,Full body porcelain,,,,,,,abk
686,Trani Ivory — Poetry Stone,"The POETRY STONE collection reinterprets the natural and primitive identity of stone. These essential, contemporary surfaces are available in a wide range of sizes including large slabs, with finishes suitable for many different indoor and outdoor applications. The collection features exclusive decorative elements and textures that combine the creative vision of Studio OTTO - Paola Navone with the distinctive qualities of ABK ceramic products.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antislippery R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
687,Trani Beige — Poetry Stone,"The POETRY STONE collection reinterprets the natural and primitive identity of stone. These essential, contemporary surfaces are available in a wide range of sizes including large slabs, with finishes suitable for many different indoor and outdoor applications. The collection features exclusive decorative elements and textures that combine the creative vision of Studio OTTO - Paola Navone with the distinctive qualities of ABK ceramic products.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antislippery R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
688,Pirenei Ecru — Poetry Stone,"The POETRY STONE collection reinterprets the natural and primitive identity of stone. These essential, contemporary surfaces are available in a wide range of sizes including large slabs, with finishes suitable for many different indoor and outdoor applications. The collection features exclusive decorative elements and textures that combine the creative vision of Studio OTTO - Paola Navone with the distinctive qualities of ABK ceramic products.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antislippery R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
689,Pirenei Grey — Poetry Stone,"The POETRY STONE collection reinterprets the natural and primitive identity of stone. These essential, contemporary surfaces are available in a wide range of sizes including large slabs, with finishes suitable for many different indoor and outdoor applications. The collection features exclusive decorative elements and textures that combine the creative vision of Studio OTTO - Paola Navone with the distinctive qualities of ABK ceramic products.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antislippery R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
690,Piase Smoke — Poetry Stone,"The POETRY STONE collection reinterprets the natural and primitive identity of stone. These essential, contemporary surfaces are available in a wide range of sizes including large slabs, with finishes suitable for many different indoor and outdoor applications. The collection features exclusive decorative elements and textures that combine the creative vision of Studio OTTO - Paola Navone with the distinctive qualities of ABK ceramic products.",ceramice,Stone,Poetry Stone,False,ABK,ABK,,"Natural, Antislippery R11, P.tech",,"120x120, 60x120, 80x80, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
691,Jura Sand — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
692,Jura Ash — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
693,Basaltina Smoke — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
694,Basaltina Dark — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
695,Carving Smoke — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
696,Carving Ecru — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
697,Carving Beige — Poetry Stone Reloaded,"Poetry Stone Reloaded, the latest instalment in the Poetry House collaboration between Paola Navone OTTO Studio and ABK, further broadens the exploration of stone in design projects. Many types of stone are closely associated with the regions from which they are sourced and where they have been used throughout history, making them an ideal canvas for the designer. Pursuing her eclectic vision, she utilises advanced technologies to transform ceramics into a sophisticated designer surface.",ceramice,Stone,Poetry Stone Reloaded,False,ABK,ABK,,"Natural, R11",,"120x120, 60x120, 20x120, 60x60, 60x90, 120x280",,Full body porcelain,,,,,,,abk
